,Number,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score,rating_opus-mt,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G,Opus,Google,Ideal Human Translation,BLEU_score_mt,chrF_score_mt,BLEU_score_gt,chrF_score_gt
25,25,Che bel sole!,1,What a beautiful sun!,What a beautiful sun!,0.636,0.636,0.677,0.0,0.323,0.636,0.677,0.0,0.323,0.636,1.0,1.0,1.0,1.0, POSITIVE (0.9995), POSITIVE (0.9995),1.0,1.0,1.0,1.0,True,True,What a beautiful sun!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
26,26,Ho visto un bel film romantico,1,I've seen a good romantic movie.,I saw a nice romantic movie,0.6705,0.6808,0.651,0.0,0.349,0.6808,0.733,0.0,0.267,0.6705,0.35,0.55,0.3,0.75, POSITIVE (0.9781), POSITIVE (0.802),0.35,0.55,0.3,0.75,False,True,I saw a nice romantic movie,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6),chrF2 = 54.50,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
27,27,Ottima notizia!,1,Good news!,Excellent news!,0.6114,0.4926,0.761,0.0,0.239,0.4926,0.8,0.0,0.2,0.6114,0.875,0.6000000000000001,1.0,1.0, POSITIVE (0.9928), POSITIVE (0.9949),0.875,0.6000000000000001,1.0,1.0,False,True,Excellent news!,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 21.71,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
28,28,La mia squadra del cuore ha vinto.,1,My favorite team won.,My heart team won.,0.5719,0.7717,0.77,0.0,0.23,0.7717,0.552,0.0,0.448,0.5719,0.5,1.0,0.0,0.0, POSITIVE (0.9985), POSITIVE (0.9991),0.5,1.0,0.0,0.0,True,False,My favorite team won.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 42.83
29,29,Ho letto un libro molto interessante,1,I read a very interesting book,I read a very interesting book,0.4576,0.4576,0.499,0.0,0.501,0.4576,0.499,0.0,0.501,0.4576,0.65,0.65,0.65,0.65, POSITIVE (0.9795), POSITIVE (0.9795),0.65,0.65,0.65,0.65,True,True,I read a very interesting book,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
30,30,Guardare il tramonto mi emoziona sempre,1,Watching the sunset always excites me,Watch the sunset always excites me,0.4767,0.4767,0.383,0.0,0.617,0.4767,0.383,0.0,0.617,0.4767,0.0,0.0,0.0,0.0, POSITIVE (0.9992), POSITIVE (0.9993),0.0,0.0,0.0,0.0,True,False,Watching the sunset always excites me,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 75.98 83.3/80.0/75.0/66.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 82.63
31,31,Sei raggiante!,1,You're glowing!,You are radiant!,0.5255,0.0,0.0,0.0,1.0,0.0,0.629,0.0,0.371,0.5255,0.0,0.0,0.0,0.0, POSITIVE (0.9999), POSITIVE (0.9997),0.0,0.0,0.0,0.0,True,False,You're glowing!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3),chrF2 = 14.76
32,32,Che persona brillante!,1,What a brilliant person!,What a brilliant person!,0.6239,0.6239,0.672,0.0,0.328,0.6239,0.672,0.0,0.328,0.6239,1.0,1.0,1.0,1.0, POSITIVE (0.9991), POSITIVE (0.9991),1.0,1.0,1.0,1.0,True,True,What a brilliant person!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
33,33,ÃÂ stata una vacanza da sogno!,1,It was a dream vacation!,It was a dream holiday!,0.6114,0.3164,0.433,0.0,0.567,0.3164,0.714,0.0,0.286,0.6114,0.0,0.0,0.0,0.0, POSITIVE (0.9955), POSITIVE (0.9957),0.0,0.0,0.0,0.0,True,False,It was a dream vacation!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 53.73 83.3/60.0/50.0/33.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 52.00
34,34,Ti voglio molto bene,1,I love you very much,I love you very much,0.6369,0.6369,0.583,0.0,0.417,0.6369,0.583,0.0,0.417,0.6369,0.38,0.43,0.38,0.43, POSITIVE (0.9882), POSITIVE (0.9882),0.38,0.43,0.38,0.43,True,True,I love you very much,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
35,35,Che gioia!,1,What a joy!,What a joy!,0.6239,0.6239,0.804,0.0,0.196,0.6239,0.804,0.0,0.196,0.6239,1.0,0.2,1.0,0.2, POSITIVE (0.9992), POSITIVE (0.9992),1.0,0.2,1.0,0.2,True,True,What a joy!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
36,36,Dai sempre il meglio di te!,1,Always give the best of you!,You always give the best of you!,0.6696,0.6696,0.473,0.0,0.527,0.6696,0.428,0.0,0.572,0.6696,1.0,0.3,1.0,0.3, POSITIVE (0.9983), POSITIVE (0.9979),1.0,0.3,1.0,0.3,True,False,Always give the best of you!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 68.04 75.0/71.4/66.7/60.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7),chrF2 = 92.37
37,37,ÃÂ bello essere spensierati,1,It's good to be carefree,It's nice to be carefree,0.6705,0.6808,0.651,0.0,0.349,0.6808,0.647,0.0,0.353,0.6705,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9964), POSITIVE (0.9939),0.7,0.6000000000000001,0.6,1.0,False,True,It's nice to be carefree,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 62.64,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
38,38, Sei una persona molto dolce,1,You're a very sweet person,You are a very sweet person,0.5095,0.5095,0.523,0.0,0.477,0.5095,0.452,0.0,0.548,0.5095,0.4549999999999999,0.8450000000000001,0.4549999999999999,0.8450000000000001, POSITIVE (0.9994), POSITIVE (0.9989),0.4549999999999999,0.8450000000000001,0.4549999999999999,0.8450000000000001,True,True,You're a very sweet person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 50.81 66.7/60.0/50.0/33.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 84.02
39,39,Ho fatto una bella corsa.,1,I had a good run.,I made a good race.,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.592,0.0,0.408,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9715), POSITIVE (0.9958),0.7,0.6000000000000001,0.7,0.6000000000000001,True,False,I had a good run.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 19.30 66.7/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 36.69
40,40,Sono stata in un posto bellissimo,1,I've been to a beautiful place,I was in a beautiful place,0.5994,0.5994,0.494,0.0,0.506,0.5994,0.565,0.0,0.435,0.5994,0.85,1.0,0.85,1.0, POSITIVE (0.9972), POSITIVE (0.9945),0.85,1.0,0.85,1.0,True,False,I've been to a beautiful place,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 58.72
41,41,Sei una persona di successo,1,You are a successful person,You are a successful person,0.5859,0.5859,0.559,0.0,0.441,0.5859,0.559,0.0,0.441,0.5859,0.75,0.95,0.75,0.95, POSITIVE (0.9899), POSITIVE (0.9899),0.75,0.95,0.75,0.95,True,True,You are a successful person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
42,42,Meriti tutto il bene del mondo!,1,You deserve all the good in the world!,You deserve the whole good of the world!,0.4926,0.4926,0.313,0.0,0.687,0.4926,0.313,0.0,0.687,0.4926,0.875,0.6000000000000001,0.5375,0.5, POSITIVE (0.9872), POSITIVE (0.9663),0.875,0.6000000000000001,0.5375,0.5,True,False,You deserve all the good in the world!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 100.00,BLEU = 24.27 77.8/37.5/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 59.50
43,43,Ti auguro ogni bene!,1,I wish you all the best!,I wish you all the best!,0.8016,0.8016,0.706,0.0,0.294,0.8016,0.706,0.0,0.294,0.8016,1.0,0.3,1.0,0.3, POSITIVE (0.9873), POSITIVE (0.9873),1.0,0.3,1.0,0.3,True,True,I wish you all the best!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00
