,Number,Italian,Original,English_opus-mt-tc-big-it-en_df1,rating_score,rating_opus-mt_df1,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G,English_opus-mt-tc-big-it-en,English_Google,rating_score_google,rating_opus-mt,Opus,Google,Ideal Human Translation,BLEU_score_mt,chrF_score_mt,BLEU_score_gt,chrF_score_gt
11,14,Mi piace molto il mio lavoro,1,I really like my job.,0.4201,0.4201,0.482,0.0,0.518,0.4201,0.482,0.0,0.518,0.4201,0.2,0.2,0.2,0.2, POSITIVE (0.9934), POSITIVE (0.9903),0.2,0.2,0.2,0.2,I really like my job.,I really like my job,0.4201,0.4201,True,True,I really like my job.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 81.87 100.0/100.0/100.0/100.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6),chrF2 = 94.32
12,15,Sei una brava persona,1,You're a good person,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.592,0.0,0.408,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9962), POSITIVE (0.9962),0.7,0.6000000000000001,0.7,0.6000000000000001,You're a good person,You're a good person,0.4404,0.4404,True,True,You're a good person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
13,16,Mi piace tanto studiare,1,I like to study so much,0.4201,0.3612,0.385,0.0,0.615,0.3612,0.583,0.0,0.417,0.4201,0.2,0.2,0.2,0.2, POSITIVE (0.9536), POSITIVE (0.9815),0.2,0.2,0.2,0.2,I like to study so much,I really like studying,0.4201,0.3612,False,True,I really like studying,BLEU = 9.65 33.3/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4),chrF2 = 24.67,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
14,17,Sono soddisfatto,1,I'm satisfied,0.4215,0.4215,0.737,0.0,0.263,0.4215,0.737,0.0,0.263,0.4215,0.5,1.0,0.5,1.0, POSITIVE (0.9938), POSITIVE (0.9938),0.5,1.0,0.5,1.0,I'm satisfied,I'm satisfied,0.4215,0.4215,True,True,I'm satisfied,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00
15,18,Ho fatto un bel sogno,1,I had a good dream,0.5859,0.5994,0.831,0.0,0.169,0.5994,0.828,0.0,0.172,0.5859,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9646), POSITIVE (0.9519),0.7,0.6000000000000001,0.6,1.0,I had a good dream,I had a nice dream,0.5859,0.5994,False,True,I had a nice dream,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 39.89,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
16,19,Che dolce emozione!,1,What a sweet emotion!,0.5093,0.5093,0.622,0.0,0.378,0.5093,0.622,0.0,0.378,0.5093,0.4375,0.65,0.4375,0.65, POSITIVE (0.9996), POSITIVE (0.9996),0.4375,0.65,0.4375,0.65,What a sweet emotion!,What a sweet emotion!,0.5093,0.5093,True,True,What a sweet emotion!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
17,22,Abbracciare rende felici,1,Embracing makes you happy,0.5719,0.5719,0.552,0.0,0.448,0.5719,0.552,0.0,0.448,0.5719,0.8,1.0,0.8,1.0, POSITIVE (0.9964), POSITIVE (0.9955),0.8,1.0,0.8,1.0,Embracing makes you happy,Embracing makes it happy,0.5719,0.5719,False,False,Hugging makes people happy,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 39.72,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 38.63
18,23,L'abbraccio fa bene al cuore,1,Embrace is good for the heart,0.6369,0.6369,0.565,0.0,0.435,0.6369,0.51,0.0,0.49,0.6369,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9942), POSITIVE (0.9931),0.7,0.6000000000000001,0.7,0.6000000000000001,Embrace is good for the heart,The embrace is good for the heart,0.6369,0.6369,False,False,A hug is good for the heart,BLEU = 64.32 83.3/80.0/75.0/66.7 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),chrF2 = 75.72,BLEU = 61.48 71.4/66.7/60.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 74.16
19,25,Che bel sole!,1,What a beautiful sun!,0.636,0.636,0.677,0.0,0.323,0.636,0.677,0.0,0.323,0.636,1.0,1.0,1.0,1.0, POSITIVE (0.9995), POSITIVE (0.9995),1.0,1.0,1.0,1.0,What a beautiful sun!,What a beautiful sun!,0.636,0.636,True,True,What a beautiful sun!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
20,26,Ho visto un bel film romantico,1,I've seen a good romantic movie.,0.6705,0.6808,0.651,0.0,0.349,0.6808,0.733,0.0,0.267,0.6705,0.35,0.55,0.3,0.75, POSITIVE (0.9781), POSITIVE (0.802),0.35,0.55,0.3,0.75,I've seen a good romantic movie.,I saw a nice romantic movie,0.6705,0.6808,False,True,I saw a nice romantic movie,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6),chrF2 = 54.50,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
21,27,Ottima notizia!,1,Good news!,0.6114,0.4926,0.761,0.0,0.239,0.4926,0.8,0.0,0.2,0.6114,0.875,0.6000000000000001,1.0,1.0, POSITIVE (0.9928), POSITIVE (0.9949),0.875,0.6000000000000001,1.0,1.0,Good news!,Excellent news!,0.6114,0.4926,False,True,Excellent news!,BLEU = 55.03 66.7/50.0/50.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 21.71,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
22,28,La mia squadra del cuore ha vinto.,1,My favorite team won.,0.5719,0.7717,0.77,0.0,0.23,0.7717,0.552,0.0,0.448,0.5719,0.5,1.0,0.0,0.0, POSITIVE (0.9985), POSITIVE (0.9991),0.5,1.0,0.0,0.0,My favorite team won.,My heart team won.,0.5719,0.7717,True,False,My favorite team won.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 42.73 80.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 42.83
23,29,Ho letto un libro molto interessante,1,I read a very interesting book,0.4576,0.4576,0.499,0.0,0.501,0.4576,0.499,0.0,0.501,0.4576,0.65,0.65,0.65,0.65, POSITIVE (0.9795), POSITIVE (0.9795),0.65,0.65,0.65,0.65,I read a very interesting book,I read a very interesting book,0.4576,0.4576,True,True,I read a very interesting book,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00
24,30,Guardare il tramonto mi emoziona sempre,1,Watching the sunset always excites me,0.4767,0.4767,0.383,0.0,0.617,0.4767,0.383,0.0,0.617,0.4767,0.0,0.0,0.0,0.0, POSITIVE (0.9992), POSITIVE (0.9993),0.0,0.0,0.0,0.0,Watching the sunset always excites me,Watch the sunset always excites me,0.4767,0.4767,True,False,Watching the sunset always excites me,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 75.98 83.3/80.0/75.0/66.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 82.63
25,31,Sei raggiante!,1,You're glowing!,0.5255,0.0,0.0,0.0,1.0,0.0,0.629,0.0,0.371,0.5255,0.0,0.0,0.0,0.0, POSITIVE (0.9999), POSITIVE (0.9997),0.0,0.0,0.0,0.0,You're glowing!,You are radiant!,0.5255,0.0,True,False,You're glowing!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3),chrF2 = 14.76
26,32,Che persona brillante!,1,What a brilliant person!,0.6239,0.6239,0.672,0.0,0.328,0.6239,0.672,0.0,0.328,0.6239,1.0,1.0,1.0,1.0, POSITIVE (0.9991), POSITIVE (0.9991),1.0,1.0,1.0,1.0,What a brilliant person!,What a brilliant person!,0.6239,0.6239,True,True,What a brilliant person!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
27,34,Ti voglio molto bene,1,I love you very much,0.6369,0.6369,0.583,0.0,0.417,0.6369,0.583,0.0,0.417,0.6369,0.38,0.43,0.38,0.43, POSITIVE (0.9882), POSITIVE (0.9882),0.38,0.43,0.38,0.43,I love you very much,I love you very much,0.6369,0.6369,True,True,I love you very much,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
28,35,Che gioia!,1,What a joy!,0.6239,0.6239,0.804,0.0,0.196,0.6239,0.804,0.0,0.196,0.6239,1.0,0.2,1.0,0.2, POSITIVE (0.9992), POSITIVE (0.9992),1.0,0.2,1.0,0.2,What a joy!,What a joy!,0.6239,0.6239,True,True,What a joy!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
29,36,Dai sempre il meglio di te!,1,Always give the best of you!,0.6696,0.6696,0.473,0.0,0.527,0.6696,0.428,0.0,0.572,0.6696,1.0,0.3,1.0,0.3, POSITIVE (0.9983), POSITIVE (0.9979),1.0,0.3,1.0,0.3,Always give the best of you!,You always give the best of you!,0.6696,0.6696,True,False,Always give the best of you!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 68.04 75.0/71.4/66.7/60.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7),chrF2 = 92.37
30,39,Ho fatto una bella corsa.,1,I had a good run.,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.592,0.0,0.408,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9715), POSITIVE (0.9958),0.7,0.6000000000000001,0.7,0.6000000000000001,I had a good run.,I made a good race.,0.4404,0.4404,True,False,I had a good run.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 19.30 66.7/20.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 36.69
31,40,Sono stata in un posto bellissimo,1,I've been to a beautiful place,0.5994,0.5994,0.494,0.0,0.506,0.5994,0.565,0.0,0.435,0.5994,0.85,1.0,0.85,1.0, POSITIVE (0.9972), POSITIVE (0.9945),0.85,1.0,0.85,1.0,I've been to a beautiful place,I was in a beautiful place,0.5994,0.5994,True,False,I've been to a beautiful place,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 30.21 50.0/40.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 58.72
32,41,Sei una persona di successo,1,You are a successful person,0.5859,0.5859,0.559,0.0,0.441,0.5859,0.559,0.0,0.441,0.5859,0.75,0.95,0.75,0.95, POSITIVE (0.9899), POSITIVE (0.9899),0.75,0.95,0.75,0.95,You are a successful person,You are a successful person,0.5859,0.5859,True,True,You are a successful person,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
33,42,Meriti tutto il bene del mondo!,1,You deserve all the good in the world!,0.4926,0.4926,0.313,0.0,0.687,0.4926,0.313,0.0,0.687,0.4926,0.875,0.6000000000000001,0.5375,0.5, POSITIVE (0.9872), POSITIVE (0.9663),0.875,0.6000000000000001,0.5375,0.5,You deserve all the good in the world!,You deserve the whole good of the world!,0.4926,0.4926,True,False,You deserve all the good in the world!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 100.00,BLEU = 24.27 77.8/37.5/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),chrF2 = 59.50
34,43,Ti auguro ogni bene!,1,I wish you all the best!,0.8016,0.8016,0.706,0.0,0.294,0.8016,0.706,0.0,0.294,0.8016,1.0,0.3,1.0,0.3, POSITIVE (0.9873), POSITIVE (0.9873),1.0,0.3,1.0,0.3,I wish you all the best!,I wish you all the best!,0.8016,0.8016,True,True,I wish you all the best!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00
35,44,Ridere fa bene alla salute!,1,Laughing is good for your health!,0.75,0.75,0.615,0.0,0.385,0.75,0.681,0.0,0.319,0.75,0.875,0.6000000000000001,0.875,0.6000000000000001, POSITIVE (0.9953), POSITIVE (0.9976),0.875,0.6000000000000001,0.875,0.6000000000000001,Laughing is good for your health!,Laughter is good for health!,0.75,0.75,True,False,Laughing is good for your health!,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),chrF2 = 100.00,BLEU = 32.16 83.3/60.0/25.0/16.7 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7),chrF2 = 57.54
36,45,Ho apprezzato molto il tuo aiuto.,1,I really appreciate your help.,0.762,0.7146,0.749,0.0,0.251,0.7146,0.766,0.0,0.234,0.762,0.2,0.2,0.2,0.1, POSITIVE (0.9579), POSITIVE (0.9699),0.2,0.2,0.2,0.1,I really appreciate your help.,I really appreciated your help.,0.762,0.7146,True,True,I really appreciate your help.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 100.00,BLEU = 37.99 83.3/60.0/25.0/16.7 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),chrF2 = 88.02
37,46,Una dolce carezza.,1,A sweet caress.,0.4588,0.4588,0.75,0.0,0.25,0.4588,0.75,0.0,0.25,0.4588,0.35,0.65,0.35,0.65, POSITIVE (0.9967), POSITIVE (0.9967),0.35,0.65,0.35,0.65,A sweet caress.,A sweet caress.,0.4588,0.4588,True,True,A sweet caress.,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),chrF2 = 100.00
38,47,Il tuo regalo mi piace molto,1,I like your gift very much,0.7146,0.6597,0.643,0.0,0.357,0.6597,0.749,0.0,0.251,0.7146,0.26,0.26,0.2,0.2, POSITIVE (0.9747), POSITIVE (0.9868),0.26,0.26,0.2,0.2,I like your gift very much,I really like your gift,0.7146,0.6597,False,True,I really like your gift,BLEU = 32.47 66.7/40.0/25.0/16.7 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),chrF2 = 59.20,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5),chrF2 = 100.00
39,48,Buon compleanno!,1,Happy birthday!,0.6114,0.6114,0.8,0.0,0.2,0.6114,0.8,0.0,0.2,0.6114,1.0,1.0,1.0,1.0, POSITIVE (0.9965), POSITIVE (0.9965),1.0,1.0,1.0,1.0,Happy birthday!,Happy birthday!,0.6114,0.6114,True,True,Happy birthday!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00
40,49,Felice anniversario!,1,Happy anniversary!,0.6114,0.6114,0.8,0.0,0.2,0.6114,0.8,0.0,0.2,0.6114,1.0,1.0,1.0,1.0, POSITIVE (0.998), POSITIVE (0.998),1.0,1.0,1.0,1.0,Happy anniversary!,Happy Anniversary!,0.6114,0.6114,True,True,Happy anniversary!,BLEU = 100.00 100.0/100.0/100.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 100.00,BLEU = 34.67 66.7/25.0/25.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3),chrF2 = 74.10
41,50,Congratulazioni!,1,Congratulations!,0.636,0.636,1.0,0.0,0.0,0.636,1.0,0.0,0.0,0.636,0.0,0.0,0.0,0.0, POSITIVE (0.9964), POSITIVE (0.9964),0.0,0.0,0.0,0.0,Congratulations!,Congratulations!,0.636,0.636,True,True,Congratulations!,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00,BLEU = 100.00 100.0/100.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 2 ref_len = 2),chrF2 = 100.00
42,51,Quando passeggio tra la natura mi sento sempre felice e rilassata,1,When I walk through nature I always feel happy and relaxed,0.7845,0.7845,0.496,0.0,0.504,0.7845,0.496,0.0,0.504,0.7845,0.8,1.0,0.8,1.0, POSITIVE (0.9978), POSITIVE (0.9976),0.8,1.0,0.8,1.0,When I walk through nature I always feel happy and relaxed,When I walk between nature I always feel happy and relaxed,0.7845,0.7845,True,True,When I walk through nature I always feel happy and relaxed,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 100.00,BLEU = 70.17 90.9/80.0/66.7/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),chrF2 = 79.30
