,Number,Italian,Original,English_opus-mt-tc-big-it-en,English_Google,rating_score,rating_opus-mt,NLTKPositive,NLTKNegative,NLTKNeutral,NLTKSentiment,NLTKPositive-G,NLTKNegative-G,NLTKNeutral-G,NLTKSentiment-G,TextblobSentimentPolarity,TextblobSentimentSubjectivity,TextblobSentimentPolarity-G,TextblobSentimentSubjectivity-G,FlairSentiment,FlairSentiment-G,PatternSentimentPolarity,PatternSentimentSubjectivity,PatternSentimentPolarity-G,PatternSentimentSubjectivity-G
10,10,Che begli occhi!,1,What beautiful eyes!,Nice eyes!,0.4753,0.636,0.677,0.0,0.323,0.636,0.756,0.0,0.244,0.4753,1.0,1.0,0.75,1.0, POSITIVE (0.9992), POSITIVE (0.9987),1.0,1.0,0.75,1.0
11,11,Che bella ragazza!,1,What a beautiful girl!,What a pretty girl!,0.5411,0.636,0.677,0.0,0.323,0.636,0.636,0.0,0.364,0.5411,1.0,1.0,0.3125,1.0, POSITIVE (0.998), POSITIVE (0.9997),1.0,1.0,0.3125,1.0
12,12,Sei una persona fortunata,1,You're a lucky person.,You are a lucky person,0.4215,0.4215,0.583,0.0,0.417,0.4215,0.483,0.0,0.517,0.4215,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334, POSITIVE (0.9995), POSITIVE (0.9996),0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334
13,13,Che bello averti incontrato,1,It's so good to have met you.,How nice to have met you,0.4215,0.4927,0.347,0.0,0.653,0.4927,0.359,0.0,0.641,0.4215,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9977), POSITIVE (0.999),0.7,0.6000000000000001,0.6,1.0
14,14,Mi piace molto il mio lavoro,1,I really like my job.,I really like my job,0.4201,0.4201,0.482,0.0,0.518,0.4201,0.482,0.0,0.518,0.4201,0.2,0.2,0.2,0.2, POSITIVE (0.9934), POSITIVE (0.9903),0.2,0.2,0.2,0.2
15,15,Sei una brava persona,1,You're a good person,You're a good person,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.592,0.0,0.408,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9962), POSITIVE (0.9962),0.7,0.6000000000000001,0.7,0.6000000000000001
16,16,Mi piace tanto studiare,1,I like to study so much,I really like studying,0.4201,0.3612,0.385,0.0,0.615,0.3612,0.583,0.0,0.417,0.4201,0.2,0.2,0.2,0.2, POSITIVE (0.9536), POSITIVE (0.9815),0.2,0.2,0.2,0.2
17,17,Sono soddisfatto,1,I'm satisfied,I'm satisfied,0.4215,0.4215,0.737,0.0,0.263,0.4215,0.737,0.0,0.263,0.4215,0.5,1.0,0.5,1.0, POSITIVE (0.9938), POSITIVE (0.9938),0.5,1.0,0.5,1.0
18,18,Ho fatto un bel sogno,1,I had a good dream,I had a nice dream,0.5859,0.5994,0.831,0.0,0.169,0.5994,0.828,0.0,0.172,0.5859,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9646), POSITIVE (0.9519),0.7,0.6000000000000001,0.6,1.0
19,19,Che dolce emozione!,1,What a sweet emotion!,What a sweet emotion!,0.5093,0.5093,0.622,0.0,0.378,0.5093,0.622,0.0,0.378,0.5093,0.4375,0.65,0.4375,0.65, POSITIVE (0.9996), POSITIVE (0.9996),0.4375,0.65,0.4375,0.65
20,20,Il pranzo ÃÂ¨ stato delizioso,1,Lunch was delicious,Lunch was delicious,0.5719,0.5719,0.649,0.0,0.351,0.5719,0.649,0.0,0.351,0.5719,1.0,1.0,1.0,1.0, POSITIVE (0.9937), POSITIVE (0.9937),1.0,1.0,1.0,1.0
21,21,Il pane ÃÂ¨ buono,1,Bread is good,The bread is good,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.492,0.0,0.508,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9947), POSITIVE (0.9946),0.7,0.6000000000000001,0.7,0.6000000000000001
22,22,Abbracciare rende felici,1,Embracing makes you happy,Embracing makes it happy,0.5719,0.5719,0.552,0.0,0.448,0.5719,0.552,0.0,0.448,0.5719,0.8,1.0,0.8,1.0, POSITIVE (0.9964), POSITIVE (0.9955),0.8,1.0,0.8,1.0
23,23,L'abbraccio fa bene al cuore,1,Embrace is good for the heart,The embrace is good for the heart,0.6369,0.6369,0.565,0.0,0.435,0.6369,0.51,0.0,0.49,0.6369,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9942), POSITIVE (0.9931),0.7,0.6000000000000001,0.7,0.6000000000000001
24,24,Avere un buon amico rende la vita piÃÂ¹ bella,1,Having a good friend makes life more beautiful,Having a good friend makes life more beautiful,0.8832,0.8832,0.72,0.0,0.28,0.8832,0.72,0.0,0.28,0.8832,0.6833333333333332,0.7000000000000001,0.6833333333333332,0.7000000000000001, POSITIVE (0.9985), POSITIVE (0.9985),0.6833333333333332,0.7000000000000001,0.6833333333333332,0.7000000000000001
25,25,Che bel sole!,1,What a beautiful sun!,What a beautiful sun!,0.636,0.636,0.677,0.0,0.323,0.636,0.677,0.0,0.323,0.636,1.0,1.0,1.0,1.0, POSITIVE (0.9995), POSITIVE (0.9995),1.0,1.0,1.0,1.0
26,26,Ho visto un bel film romantico,1,I've seen a good romantic movie.,I saw a nice romantic movie,0.6705,0.6808,0.651,0.0,0.349,0.6808,0.733,0.0,0.267,0.6705,0.35,0.55,0.3,0.75, POSITIVE (0.9781), POSITIVE (0.802),0.35,0.55,0.3,0.75
27,27,Ottima notizia!,1,Good news!,Excellent news!,0.6114,0.4926,0.761,0.0,0.239,0.4926,0.8,0.0,0.2,0.6114,0.875,0.6000000000000001,1.0,1.0, POSITIVE (0.9928), POSITIVE (0.9949),0.875,0.6000000000000001,1.0,1.0
28,28,La mia squadra del cuore ha vinto.,1,My favorite team won.,My heart team won.,0.5719,0.7717,0.77,0.0,0.23,0.7717,0.552,0.0,0.448,0.5719,0.5,1.0,0.0,0.0, POSITIVE (0.9985), POSITIVE (0.9991),0.5,1.0,0.0,0.0
29,29,Ho letto un libro molto interessante,1,I read a very interesting book,I read a very interesting book,0.4576,0.4576,0.499,0.0,0.501,0.4576,0.499,0.0,0.501,0.4576,0.65,0.65,0.65,0.65, POSITIVE (0.9795), POSITIVE (0.9795),0.65,0.65,0.65,0.65
30,30,Guardare il tramonto mi emoziona sempre,1,Watching the sunset always excites me,Watch the sunset always excites me,0.4767,0.4767,0.383,0.0,0.617,0.4767,0.383,0.0,0.617,0.4767,0.0,0.0,0.0,0.0, POSITIVE (0.9992), POSITIVE (0.9993),0.0,0.0,0.0,0.0
31,31,Sei raggiante!,1,You're glowing!,You are radiant!,0.5255,0.0,0.0,0.0,1.0,0.0,0.629,0.0,0.371,0.5255,0.0,0.0,0.0,0.0, POSITIVE (0.9999), POSITIVE (0.9997),0.0,0.0,0.0,0.0
32,32,Che persona brillante!,1,What a brilliant person!,What a brilliant person!,0.6239,0.6239,0.672,0.0,0.328,0.6239,0.672,0.0,0.328,0.6239,1.0,1.0,1.0,1.0, POSITIVE (0.9991), POSITIVE (0.9991),1.0,1.0,1.0,1.0
33,33,ÃÂ stata una vacanza da sogno!,1,It was a dream vacation!,It was a dream holiday!,0.6114,0.3164,0.433,0.0,0.567,0.3164,0.714,0.0,0.286,0.6114,0.0,0.0,0.0,0.0, POSITIVE (0.9955), POSITIVE (0.9957),0.0,0.0,0.0,0.0
34,34,Ti voglio molto bene,1,I love you very much,I love you very much,0.6369,0.6369,0.583,0.0,0.417,0.6369,0.583,0.0,0.417,0.6369,0.38,0.43,0.38,0.43, POSITIVE (0.9882), POSITIVE (0.9882),0.38,0.43,0.38,0.43
35,35,Che gioia!,1,What a joy!,What a joy!,0.6239,0.6239,0.804,0.0,0.196,0.6239,0.804,0.0,0.196,0.6239,1.0,0.2,1.0,0.2, POSITIVE (0.9992), POSITIVE (0.9992),1.0,0.2,1.0,0.2
36,36,Dai sempre il meglio di te!,1,Always give the best of you!,You always give the best of you!,0.6696,0.6696,0.473,0.0,0.527,0.6696,0.428,0.0,0.572,0.6696,1.0,0.3,1.0,0.3, POSITIVE (0.9983), POSITIVE (0.9979),1.0,0.3,1.0,0.3
37,37,ÃÂ bello essere spensierati,1,It's good to be carefree,It's nice to be carefree,0.6705,0.6808,0.651,0.0,0.349,0.6808,0.647,0.0,0.353,0.6705,0.7,0.6000000000000001,0.6,1.0, POSITIVE (0.9964), POSITIVE (0.9939),0.7,0.6000000000000001,0.6,1.0
38,38, Sei una persona molto dolce,1,You're a very sweet person,You are a very sweet person,0.5095,0.5095,0.523,0.0,0.477,0.5095,0.452,0.0,0.548,0.5095,0.45499999999999996,0.8450000000000001,0.45499999999999996,0.8450000000000001, POSITIVE (0.9994), POSITIVE (0.9989),0.45499999999999996,0.8450000000000001,0.45499999999999996,0.8450000000000001
39,39,Ho fatto una bella corsa.,1,I had a good run.,I made a good race.,0.4404,0.4404,0.592,0.0,0.408,0.4404,0.592,0.0,0.408,0.4404,0.7,0.6000000000000001,0.7,0.6000000000000001, POSITIVE (0.9715), POSITIVE (0.9958),0.7,0.6000000000000001,0.7,0.6000000000000001
40,40,Sono stata in un posto bellissimo,1,I've been to a beautiful place,I was in a beautiful place,0.5994,0.5994,0.494,0.0,0.506,0.5994,0.565,0.0,0.435,0.5994,0.85,1.0,0.85,1.0, POSITIVE (0.9972), POSITIVE (0.9945),0.85,1.0,0.85,1.0
41,41,Sei una persona di successo,1,You are a successful person,You are a successful person,0.5859,0.5859,0.559,0.0,0.441,0.5859,0.559,0.0,0.441,0.5859,0.75,0.95,0.75,0.95, POSITIVE (0.9899), POSITIVE (0.9899),0.75,0.95,0.75,0.95
42,42,Meriti tutto il bene del mondo!,1,You deserve all the good in the world!,You deserve the whole good of the world!,0.4926,0.4926,0.313,0.0,0.687,0.4926,0.313,0.0,0.687,0.4926,0.875,0.6000000000000001,0.5375,0.5, POSITIVE (0.9872), POSITIVE (0.9663),0.875,0.6000000000000001,0.5375,0.5
43,43,Ti auguro ogni bene!,1,I wish you all the best!,I wish you all the best!,0.8016,0.8016,0.706,0.0,0.294,0.8016,0.706,0.0,0.294,0.8016,1.0,0.3,1.0,0.3, POSITIVE (0.9873), POSITIVE (0.9873),1.0,0.3,1.0,0.3
44,44,Ridere fa bene alla salute!,1,Laughing is good for your health!,Laughter is good for health!,0.75,0.75,0.615,0.0,0.385,0.75,0.681,0.0,0.319,0.75,0.875,0.6000000000000001,0.875,0.6000000000000001, POSITIVE (0.9953), POSITIVE (0.9976),0.875,0.6000000000000001,0.875,0.6000000000000001
45,45,Ho apprezzato molto il tuo aiuto.,1,I really appreciate your help.,I really appreciated your help.,0.762,0.7146,0.749,0.0,0.251,0.7146,0.766,0.0,0.234,0.762,0.2,0.2,0.2,0.1, POSITIVE (0.9579), POSITIVE (0.9699),0.2,0.2,0.2,0.1
46,46,Una dolce carezza.,1,A sweet caress.,A sweet caress.,0.4588,0.4588,0.75,0.0,0.25,0.4588,0.75,0.0,0.25,0.4588,0.35,0.65,0.35,0.65, POSITIVE (0.9967), POSITIVE (0.9967),0.35,0.65,0.35,0.65
47,47,Il tuo regalo mi piace molto,1,I like your gift very much,I really like your gift,0.7146,0.6597,0.643,0.0,0.357,0.6597,0.749,0.0,0.251,0.7146,0.26,0.26,0.2,0.2, POSITIVE (0.9747), POSITIVE (0.9868),0.26,0.26,0.2,0.2
48,48,Buon compleanno!,1,Happy birthday!,Happy birthday!,0.6114,0.6114,0.8,0.0,0.2,0.6114,0.8,0.0,0.2,0.6114,1.0,1.0,1.0,1.0, POSITIVE (0.9965), POSITIVE (0.9965),1.0,1.0,1.0,1.0
49,49,Felice anniversario!,1,Happy anniversary!,Happy Anniversary!,0.6114,0.6114,0.8,0.0,0.2,0.6114,0.8,0.0,0.2,0.6114,1.0,1.0,1.0,1.0, POSITIVE (0.998), POSITIVE (0.998),1.0,1.0,1.0,1.0
50,50,Congratulazioni!,1,Congratulations!,Congratulations!,0.636,0.636,1.0,0.0,0.0,0.636,1.0,0.0,0.0,0.636,0.0,0.0,0.0,0.0, POSITIVE (0.9964), POSITIVE (0.9964),0.0,0.0,0.0,0.0
51,51,Quando passeggio tra la natura mi sento sempre felice e rilassata,1,When I walk through nature I always feel happy and relaxed,When I walk between nature I always feel happy and relaxed,0.7845,0.7845,0.496,0.0,0.504,0.7845,0.496,0.0,0.504,0.7845,0.8,1.0,0.8,1.0, POSITIVE (0.9978), POSITIVE (0.9976),0.8,1.0,0.8,1.0
52,52,Viaggiare in treno da sola ÃÂ¨ un esperienza bellissima ed estremamente rilassante,1,Traveling by train alone is a beautiful and extremely relaxing experience,Traveling by train alone is a beautiful and extremely relaxing experience,0.7501,0.7501,0.451,0.122,0.427,0.7501,0.451,0.122,0.427,0.7501,0.3625,1.0,0.3625,1.0, POSITIVE (0.9978), POSITIVE (0.9978),0.3625,1.0,0.3625,1.0
53,53,Domani si sposa mio cugino ed io non vedo lÃÂora di andare al matrimonio. Dopo molti anni finalmente avrÃÂ² lÃÂoccasione di rivedere tutta la famiglia.,1,Tomorrow my cousin gets married and I can't wait to go to the wedding. After many years I will finally have the opportunity to see the whole family again.,Tomorrow my cousin gets married and I can't wait to go to the wedding.After many years I will finally have the opportunity to review the whole family.,0.4215,0.4215,0.097,0.0,0.903,0.4215,0.104,0.0,0.896,0.4215,0.2375,0.5375,0.2375,0.5375, POSITIVE (0.9988), POSITIVE (0.9988),0.2375,0.5375,0.2375,0.5375
54,54,I bambini sono stati felici di andare al parco giochi. Si sono divertiti ad andare sulle giostre e a mangiare zucchero filato.,1,The kids were happy to go to the playground. They had fun going on rides and eating cotton candy.,The children were happy to go to the playground.They had fun going to the rides and eating cotton candy.,0.7906,0.7906,0.292,0.0,0.708,0.7906,0.292,0.0,0.708,0.7906,0.55,0.6,0.55,0.6, POSITIVE (0.9957), POSITIVE (0.9963),0.55,0.6,0.55,0.6
55,55,"A mia figlia piace molto ballare e quando ÃÂ¨ sul palco ÃÂ¨ felice, a suo agioÃÂ e a me piace molto vederla ballare.",1,"My daughter really likes to dance and when she's on stage she's happy, comfortable and I really like to see her dance.","My daughter likes to dance and when she is on stage she is happy, at ease and I really like to see her dance.",0.8955,0.9167,0.431,0.0,0.569,0.9167,0.383,0.0,0.617,0.8955,0.39999999999999997,0.55,0.5,0.6, POSITIVE (0.9905), POSITIVE (0.9891),0.39999999999999997,0.55,0.5,0.6
56,56,LÃÂaccessorio piÃÂ¹ bello da indossare ÃÂ¨ il sorriso perchÃÂ© trasmette gioia e felicitÃÂ  alle persone che incontriamo.,1,The most beautiful accessory to wear is the smile because it conveys joy and happiness to the people we meet.,The most beautiful accessory to wear is the smile because it transmits joy and happiness to the people we meet.,0.9336,0.9336,0.468,0.0,0.532,0.9336,0.468,0.0,0.532,0.9336,0.6300000000000001,0.4,0.6300000000000001,0.4, POSITIVE (0.9994), POSITIVE (0.9994),0.6300000000000001,0.4,0.6300000000000001,0.4
57,57,Le persone solari e allegre sono meravigliose e portano tanta felicitÃÂ  a chi li circonde.,1,Solar and cheerful people are wonderful and bring so much happiness to those around them.,Solar and cheerful people are wonderful and bring so much happiness to those who surround them.,0.9017,0.9017,0.48,0.0,0.52,0.9017,0.46,0.0,0.54,0.9017,0.6999999999999998,0.7333333333333334,0.6999999999999998,0.7333333333333334, POSITIVE (0.9956), POSITIVE (0.9969),0.6999999999999998,0.7333333333333334,0.6999999999999998,0.7333333333333334
58,58,Una delle esperienze piÃÂ¹ belle della mia vita ÃÂ¨ stata quella di diventare mamma. Mi ha reso una donna migliore e certamente piÃÂ¹ felice,1,One of the best experiences of my life was becoming a mom. It made me a better woman and certainly happier,One of the most beautiful experiences of my life was to become a mother.She made me a better and certainly happier woman,0.9168,0.9169,0.462,0.0,0.538,0.9169,0.446,0.0,0.554,0.9168,0.5410714285714285,0.5553571428571429,0.5160714285714286,0.6428571428571428, POSITIVE (0.9928), POSITIVE (0.995),0.5410714285714285,0.5553571428571429,0.5160714285714286,0.6428571428571428
59,59,"Ho visto il nuovo film di Tom Cruise, ÃÂMaverickÃÂ, e devo dire che mi ha emozionato perchÃÂ© mi ha riportato alla mia gioventÃÂ¹.",1,"I saw the new Tom Cruise movie, Maverick, and I have to say it got me excited because it brought me back to my youth.","I saw Tom Cruise's new film, Maverick, and I must say that he excited me because he brought me back to my youth.",0.34,0.34,0.098,0.0,0.902,0.34,0.107,0.0,0.893,0.34,0.17045454545454544,0.40151515151515155,0.17045454545454544,0.40151515151515155, POSITIVE (0.9996), POSITIVE (0.9996),0.17045454545454544,0.40151515151515155,0.17045454545454544,0.40151515151515155
60,60,LÃÂesperienza studio in Italia ÃÂ¨ stata unica. Mi ha cambiato letteralmente la vita e mi ha aperto gli occhi su una nuova realtÃÂ .,1,The study experience in Italy was unique. It literally changed my life and opened my eyes to a new reality.,The study experience in Italy was unique.She literally changed my life and opened my eyes on a new reality.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2556818181818182,0.7272727272727273,0.13636363636363635,0.45454545454545453, POSITIVE (0.9996), POSITIVE (0.9989),0.2556818181818182,0.7272727272727273,0.13636363636363635,0.45454545454545453
61,61,Mi sento una donna molto fortunate perchÃÂ¨ faccio un lavoro che amo e quando sono in classe con mi miei studenti mi sento felice.,1,I feel like a very lucky woman because I do a job that I love and when I'm in class with my students I feel happy.,I feel like a very lucky woman because I do a job that I love and when I am in class with my students I feel happy.,0.9259,0.9259,0.457,0.0,0.543,0.9259,0.457,0.0,0.543,0.9259,0.5777777777777778,0.8666666666666667,0.5777777777777778,0.8666666666666667, POSITIVE (0.9925), POSITIVE (0.9911),0.5777777777777778,0.8666666666666667,0.5777777777777778,0.8666666666666667
62,62,"Ieri ho visitato un museo dÃÂarte molto interessante e mi ÃÂ¨ piaciuto moltissimo, ci voglio ritornare!",1,"Yesterday I visited a very interesting art museum and I loved it, I want to go back!","Yesterday I visited a very interesting art museum and I liked it very much, I want to go back!",0.7693,0.8169,0.459,0.0,0.541,0.8169,0.39,0.0,0.61,0.7693,0.45,0.4833333333333334,0.3775,0.42750000000000005, POSITIVE (0.9827), POSITIVE (0.956),0.45,0.4833333333333334,0.3775,0.42750000000000005
63,63,General /commonly used Italian sentences -Negative,-1,General /commonly used Italian sentences -Negative,General /commonly used Italian sentences -Negative,-0.5423,-0.5423,0.135,0.416,0.449,-0.5423,0.135,0.416,0.449,-0.5423,-0.08333333333333333,0.3,-0.08333333333333333,0.3, NEGATIVE (0.9999), NEGATIVE (0.9999),-0.08333333333333333,0.3,-0.08333333333333333,0.3
64,64,Sono arrabbiato,-1,I'm angry,I am angry,-0.5106,-0.5106,0.0,0.767,0.233,-0.5106,0.0,0.767,0.233,-0.5106,-0.5,1.0,-0.5,1.0, NEGATIVE (0.9991), NEGATIVE (0.9985),-0.5,1.0,-0.5,1.0
65,65,Che tristezza!,-1,How sad!,How sad!,-0.5255,-0.5255,0.0,0.772,0.228,-0.5255,0.0,0.772,0.228,-0.5255,-0.625,1.0,-0.625,1.0, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.625,1.0,-0.625,1.0
66,66,Questo ÃÂ¨ un grosso guaio!,-1,This is big trouble!,This is a big trouble!,-0.4574,-0.4574,0.0,0.499,0.501,-0.4574,0.0,0.499,0.501,-0.4574,-0.125,0.15000000000000002,-0.125,0.15000000000000002, NEGATIVE (0.9996), NEGATIVE (0.9996),-0.125,0.15000000000000002,-0.125,0.15000000000000002
67,67,Non mi piace quello che dici,-1,I don't like what you say.,I don't like what you say,-0.2755,-0.2755,0.0,0.345,0.655,-0.2755,0.0,0.345,0.655,-0.2755,0.0,0.0,0.0,0.0, NEGATIVE (0.9978), NEGATIVE (0.9978),0.0,0.0,0.0,0.0
68,68,Ho visto un film d'orrore ed ora ho paura,-1,I've seen a horror movie and now I'm scared,I saw a horror movie and now I'm afraid,-0.5719,-0.765,0.0,0.524,0.476,-0.765,0.0,0.381,0.619,-0.5719,0.0,0.0,-0.6,0.9, NEGATIVE (0.6139), NEGATIVE (0.9993),0.0,0.0,-0.6,0.9
69,69,Sono molto triste,-1,I'm very sad,I am very sad,-0.5256,-0.5256,0.0,0.629,0.371,-0.5256,0.0,0.629,0.371,-0.5256,-0.65,1.0,-0.65,1.0, NEGATIVE (0.9989), NEGATIVE (0.9977),-0.65,1.0,-0.65,1.0
70,70,Ho trascorso una giornataccia!,-1,I had a bad day!,I spent a day!,0.0,-0.5848,0.0,0.655,0.345,-0.5848,0.0,0.0,1.0,0.0,-0.8749999999999998,0.6666666666666666,-0.125,0.1, NEGATIVE (0.9989), NEGATIVE (0.9993),-0.8749999999999998,0.6666666666666666,-0.125,0.1
71,71,Il buio mi fa paura,-1,The dark scares me,The darkness scares me,-0.5267,-0.34,0.0,0.444,0.556,-0.34,0.0,0.688,0.312,-0.5267,-0.15,0.4,0.0,0.0, NEGATIVE (0.9831), NEGATIVE (0.9949),-0.15,0.4,0.0,0.0
72,72,La solitudine ÃÂ¨ triste,-1,Loneliness is sad,Solitude is sad,-0.4767,-0.7096,0.0,0.855,0.145,-0.7096,0.0,0.608,0.392,-0.4767,-0.5,1.0,-0.5,1.0, NEGATIVE (0.9879), NEGATIVE (0.9243),-0.5,1.0,-0.5,1.0
73,73,Che brutto!,-1,That's ugly!,How bad!,-0.5848,-0.5562,0.0,0.782,0.218,-0.5562,0.0,0.791,0.209,-0.5848,-0.875,1.0,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9999), NEGATIVE (1.0),-0.875,1.0,-0.8749999999999998,0.6666666666666666
74,74,Mi hai delusa,-1,You let me down.,You disappointed me,-0.4767,0.0,0.0,0.0,1.0,0.0,0.0,0.608,0.392,-0.4767,-0.15555555555555559,0.2888888888888889,-0.75,0.75, POSITIVE (0.6654), NEGATIVE (0.9942),-0.15555555555555559,0.2888888888888889,-0.75,0.75
75,75,Che delusione!,-1,What a disappointment!,What a disappointment!,-0.5562,-0.5562,0.0,0.782,0.218,-0.5562,0.0,0.782,0.218,-0.5562,-0.75,0.4,-0.75,0.4, NEGATIVE (1.0), NEGATIVE (1.0),-0.75,0.4,-0.75,0.4
76,76,Ho visto un film orribbile,-1,I've seen a horrible movie.,I saw a horrible movie,-0.5423,-0.5423,0.0,0.538,0.462,-0.5423,0.0,0.636,0.364,-0.5423,-1.0,1.0,-1.0,1.0, NEGATIVE (1.0), NEGATIVE (1.0),-1.0,1.0,-1.0,1.0
77,77,Ho letto un libro orribile e noioso,-1,I read a horrible and boring book,I read a horrible and boring book,-0.7003,-0.7003,0.0,0.659,0.341,-0.7003,0.0,0.659,0.341,-0.7003,-1.0,1.0,-1.0,1.0, NEGATIVE (0.9999), NEGATIVE (0.9999),-1.0,1.0,-1.0,1.0
78,78,Sei noioso!,-1,You're boring!,You are boring!,-0.3802,-0.3802,0.0,0.722,0.278,-0.3802,0.0,0.564,0.436,-0.3802,-1.0,1.0,-1.0,1.0, NEGATIVE (0.9999), NEGATIVE (0.9998),-1.0,1.0,-1.0,1.0
79,79,Che cattivo!,-1,What a villain!,So bad!,-0.623,-0.5983,0.0,0.796,0.204,-0.5983,0.0,0.803,0.197,-0.623,0.0,0.0,-0.8749999999999998,0.6666666666666666, NEGATIVE (0.9906), NEGATIVE (0.9999),0.0,0.0,-0.8749999999999998,0.6666666666666666
80,80,Il cibo non era buono per niente,-1,The food was not good at all,The food was not good at all,-0.3412,-0.3412,0.0,0.286,0.714,-0.3412,0.0,0.286,0.714,-0.3412,-0.35,0.6000000000000001,-0.35,0.6000000000000001, NEGATIVE (0.9998), NEGATIVE (0.9998),-0.35,0.6000000000000001,-0.35,0.6000000000000001
81,81,Che cosa disgustosa!,-1,That's disgusting!,What disgusting!,-0.5707,-0.5707,0.0,0.787,0.213,-0.5707,0.0,0.787,0.213,-0.5707,-1.0,1.0,-1.0,1.0, NEGATIVE (1.0), NEGATIVE (1.0),-1.0,1.0,-1.0,1.0
82,82,Odio camminare da sola di sera,-1,I hate to walk alone at night,I hate walking alone in the evening,-0.6908,-0.6908,0.0,0.588,0.412,-0.6908,0.0,0.588,0.412,-0.6908,-0.8,0.9,-0.8,0.9, NEGATIVE (0.6118), NEGATIVE (0.9979),-0.8,0.9,-0.8,0.9
